Source_Name,sigma²_NXS(month),err_sigma²_NXS(month),a*sigma²_NXS(month),sigma²_NXS(3 day),err_sigma²_NXS(3 day)
J0325.9-1843,,,,,
J0326.2+0225,,,,,
J0326.7-3404,,,,,
J0327.5-1805,,,,,
J0328.8-5715,,,,,
J0328.9+3514,,,,,
J0330.6+4659,,,,,
J0330.6+0438,,,,,
J0330.7-2408,,,,,
J0331.1-5243,,,,,
J0331.3-6156,,,,,
J0331.8-7040,,,,,
J0331.9+6307,,,,,
J0332.1-1123,,,,,
J0332.2-1737,,,,,
J0332.8+1557,,,,,
J0333.1+8227,,,,,
J0333.3+0233,,,,,
J0333.7+7851,,,,,
J0333.7+2916,,,,,
J0333.8+4007,,,,,
J0333.9+6537,,,,,
J0334.2-3725,0.1743954633909939,0.020091520598657604,0.6388236234209705,-0.009055354069283686,0.01824208884729151
J0334.2-4008,0.3411147273820446,0.017799273387893763,1.249528754425774,0.21501032115195848,0.017938922601666688
J0334.3+3920,,,,,
J0335.1-4459,,,,,
J0335.8+2733,,,,,
J0336.4+3224,,,,,
J0336.5-0348,,,,,
J0336.7-1305,,,,,
J0336.8-3612,,,,,
J0337.8-1157,,,,,
J0338.1-2443,,,,,
J0338.5+1302,,,,,
J0338.7-5319,,,,,
J0338.7-5706,,,,,
J0338.9-2848,,,,,
J0339.2-1736,,,,,
J0339.5-0146,0.5409754161005806,0.016113353268884967,1.981633402471219,0.37464012730831137,0.014194504848014582
J0340.4-2422,,,,,
J0340.5-2118,,,,,
J0340.5-0256,,,,,
J0342.2+3858,,,,,
J0342.8-3007,,,,,
J0343.2-2529,,,,,
J0343.2-6444,,,,,
J0343.4+3621,,,,,
J0344.2+3203,,,,,
J0344.4+3432,,,,,
J0345.2-2353,,,,,
J0345.5-3301,,,,,
J0347.0+4844,,,,,
J0347.6-0133,,,,,
J0347.7-3616,,,,,
J0348.2+6035,,,,,
J0348.6-1609,,,,,
J0348.6-2749,,,,,
J0348.8-0828,,,,,
J0348.8+4610,,,,,
J0348.9-4859,,,,,
J0349.4-1159,,,,,
J0349.6+2410,,,,,
J0349.8-2103,0.6123490531408765,0.05244428883346253,2.243080372158675,,
J0350.0+0640,,,,,
J0350.4-5144,,,,,
J0350.6-3226,,,,,
J0350.8-2814,,,,,
J0352.0-2516,,,,,
J0352.0-3702,,,,,
J0352.9-3623,,,,,
J0353.0+5654,,,,,
J0353.0-6831,,,,,
J0353.7+8257,,,,,
J0354.4+4643,,,,,
J0354.7-1617,,,,,
J0354.7+8009,,,,,
J0355.1-1841,,,,,
J0355.3+3909,,,,,
J0356.1-1329,,,,,
J0357.0-4955,,,,,
J0357.2+2320,,,,,
J0357.2-0319,,,,,
J0357.6-4625,,,,,
J0358.0-6946,,,,,
J0358.1-5954,,,,,
J0358.6+0634,,,,,
J0358.7+7649,,,,,
J0358.9+6004,,,,,
J0359.0-3053,,,,,
J0359.4-0236,,,,,
J0359.4-2616,,,,,
J0359.6+5057,0.2745010134745944,0.019611855145266272,1.0055177391135326,,
J0359.6+3213,,,,,
J0400.7+3920,,,,,
J0401.0-5353,,,,,
J0401.2+8153,,,,,
J0401.3+0412,,,,,
J0401.7+2112,0.2636761314806832,0.03624600158136833,0.9658653869021053,,
J0401.9-2034,0.3556563061186233,0.032860807530111044,1.302795644734357,,
J0402.0-2616,,,,,
J0402.0+2737,,,,,
J0402.1-3147,,,,,
J0402.9+6433,,,,,
J0403.3+2601,,,,,
J0403.5-2437,,,,,
J0403.9-3605,1.6696336742656173,0.016965322163075298,6.115993001427532,1.4556913227086494,0.016126316073910348
J0404.1-1715,,,,,
J0404.3-1559,,,,,
J0405.6-1308,0.44071769751041984,0.04436149812141016,1.6143818821602038,,
J0406.0-5407,,,,,
J0407.0-3826,0.3615435693159429,0.019095649977342345,1.3243611300664648,0.13923279348496617,0.015159467456186104
J0407.5+0741,0.20026893799311807,0.05017928897291111,0.7336000956664807,,
J0409.4+3201,,,,,
J0409.8-0359,,,,,
J0410.9+4216,,,,,
J0411.7+3041,,,,,
J0412.3+0239,,,,,
J0412.6-5434,,,,,
J0412.7-3927,,,,,
J0413.1-5332,,,,,
J0414.6-0842,,,,,
J0414.8-5338,,,,,
J0415.2-5741,,,,,
J0416.0-4743,,,,,
J0416.0-6628,,,,,
J0416.2-4353,,,,,
J0416.4-2059,,,,,
J0416.5-1852,,,,,
J0416.9+0105,,,,,
J0418.1-0252,,,,,
J0418.2+3807,,,,,
J0418.4+3414,,,,,
J0420.0+0805,,,,,
J0420.2+4012,,,,,
J0420.3-6016,,,,,
J0420.3-3745,,,,,
J0421.0-0752,,,,,
J0422.1-0644,0.24512126544363588,0.030317991313437185,0.897897525104564,,
J0422.3+1951,,,,,
J0422.8+0225,,,,,
J0423.1+2106,,,,,
J0423.3-0120,0.3855691886443793,0.021128509497377688,1.4123687702647318,0.06918118049738849,0.013163502888700551
J0423.7+0831,,,,,
J0423.9+4150,,,,,
J0424.7+0036,,,,,
J0424.9-5331,,,,,
J0425.3+6319,,,,,
J0426.5+2007,,,,,
J0426.7+6826,,,,,
J0427.3-3900,0.13460041338280584,0.030081735423057927,0.49305137942943184,,
J0428.6-3756,0.5701287614191818,0.009648029745006377,2.0884242864147824,0.4861411866195065,0.00936517940994205
J0428.7-5003,,,,,
J0429.0-0006,,,,,
J0429.3-3238,,,,,
J0429.3-4326,,,,,
J0429.8+2843,,,,,
J0429.9-3101,,,,,
J0430.2-0356,,,,,
J0430.3-2507,,,,,
J0430.3+1654,,,,,
J0431.8+7403,,,,,
J0432.0+1732,,,,,
J0433.0+0522,0.22516408070713245,0.046012792679091204,0.8247928650477175,,
J0433.1+3227,,,,,
J0433.5-1039,,,,,
